source,dest
https://experienceleague.adobe.com/docs/target-learn/tutorials/apis/configure-io-target-integration.html,https://developer.adobe.com/target/before-administer/configure-authentication/
https://experienceleague.adobe.com/docs/target-learn/recommendations-api-tutorial/recs-api-overview.html,https://developer.adobe.com/target/before-administer/recs-api/
https://experienceleague.adobe.com/docs/target-learn/recommendations-api-tutorial/manage-catalog.html,https://developer.adobe.com/target/before-administer/recs-api/manage-catalog/
https://experienceleague.adobe.com/docs/target-learn/recommendations-api-tutorial/manage-custom-criteria.html,https://developer.adobe.com/target/before-administer/recs-api/manage-custom-criteria/
https://experienceleague.adobe.com/docs/target-learn/recommendations-api-tutorial/fetch-recs-server-side-delivery-api.html,https://developer.adobe.com/target/before-administer/recs-api/fetch-recs-server-side-delivery-api/
# https://experienceleague.adobe.com/docs/target-learn/tutorials/administration/1.2-configure-ent-user-permissions.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/administration/1-2-configure-ent-user-permissions.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/administration/1.3-intro-to-admin-setup.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/administration/1-3-intro-to-admin-setup.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/administration/strategy/1.1-implementation-strategy-sys-governance.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/administration/strategy/1-1-implementation-strategy-sys-governance.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2.1-intro-to-target-implementation.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2-1-intro-to-target-implementation.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2.2-benefits-of-locations.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2-2-benefits-of-locations.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2.3-intro-to-target-requests.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2-3-intro-to-target-requests.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2.4-intro-to-target-params.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2-4-intro-to-target-params.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2.5-design-target-implementation.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2-5-design-target-implementation.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2.6-next-steps-design-target-implementation.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/2-6-next-steps-design-target-implementation.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/3.1-target-launch.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/implementation/3-1-target-launch.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3.2-target-analytics.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3-2-target-analytics.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3.3-target-dmp.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3-3-target-dmp.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3.4-target-exc-audiences.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3-4-target-exc-audiences.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3.5-target-aem.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3-5-target-aem.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3.6-target-campaign.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3-6-target-campaign.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3.7-target-io.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3-7-target-io.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3.8-target-scene7.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/integrations/3-8-target-scene7.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/troubleshooting/4.1-troubleshoot-mbox-errors.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/troubleshooting/4-1-troubleshoot-mbox-errors.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/troubleshooting/4.2-troubleshoot-activity-errors.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/troubleshooting/4-2-troubleshoot-activity-errors.html
# https://experienceleague.adobe.com/docs/target-learn/tutorials/troubleshooting/4.3-troubleshoot-integration-errors.html,https://experienceleague.adobe.com/docs/target-learn/tutorials/troubleshooting/4-3-troubleshoot-integration-errors.html
